Pattern String,Pattern Type
Madda madda,unsafe
Kirpa karke madda karo,unsafe
Koi ithe hai?,unsafe
Koi pulis kal karo,unsafe
Mainun madda chahidi hai,unsafe
Koi ikk kal karo  181 nambhar ton,unsafe
Piche hato,unsafe
Mere piche na aao,unsafe
Main tuhade nal nahi ja riha,unsafe
Madda lao  khatarnak sthiti hai,unsafe
Dur raho jan main chilaunga,unsafe
Meri sahamane hamla ho riha hai  madda karo,unsafe
Mainun hamla ho riha hai  kirpa karke madda karo,unsafe
Mainun baccao,unsafe
Madda madda,unsafe
Pulis nu kal karo,unsafe
Meri madda karo,unsafe
Main khatre vich han,unsafe
awaaz mat karo,unsafe
abb mere hatho se tum nhi bach sakti,unsafe
tum abb danger me ho,unsafe
abb tum mere kabje me ho,unsafe
tum mere hatho se bhag nhi sakti,unsafe
chilayo mat,unsafe
hoshiyari mat karna,unsafe
iska phone chinno,unsafe
tumhe bachne wala koi nhi,unsafe
iske haath per bandho,unsafe
isko gaadi me dalo,unsafe
yaha per koi nhi h,unsafe
tum bhag nhi sakti ,unsafe
Police ko call karni ki kosish kari toh bahut bura hoga ,unsafe
iska phone switch off karo,unsafe
abb tum kidnap ho chuki ho,unsafe
abb tumhe apni family se koi nhi mila sakta ,unsafe
abb tumhe pachtanana hoga,unsafe
Tumhe bachane ke liye koi nahi hai.,unsafe
jo me kheta waisa karo warna bahut bura hoga ,unsafe
tumhe meri baat maani hogi,unsafe
dont make sound,unsafe
You can't escape from here,unsafe
you are in danger,unsafe
you are kidnapped,unsafe
you can't run away from my hand,unsafe
dont make noise,unsafe
dont be smart,unsafe
take its phone,unsafe
nobody is here to help you,unsafe
tie her hand and leg,unsafe
put her in a car,unsafe
nobody is here ,unsafe
you cant run from here,unsafe
if you try to call police you will be in danger,unsafe
take it phone and switch off it,unsafe
You have been kidnapped,unsafe
you never meet with your family,unsafe
you have to suffer ,unsafe
Noone is here to help you,unsafe
Whatever I say you have to do like that,unsafe
you have to follow me .,unsafe
Awaaz mat karo,unsafe
Abaro amar hate tumi bachte parbe na,unsafe
Tumi ekhon jhukite achhe,unsafe
Ekhon tumi amar kabye royechho,unsafe
Tumi amar hate theke palate parbe na,unsafe
Chilao na,unsafe
Sabdhane koro na,unsafe
Ei phoneti chhinno koro,unsafe
Tomar kache bachar keu nei,unsafe
Tar hate bandho,unsafe
Etake gari te rakho,unsafe
Ekhane keu nei,unsafe
Tumi palate parbe na,unsafe
Policeke kol korar chesta korle khub kharap hobe,unsafe
Ei phoneti bondho koro,unsafe
Ekhon tumi apohoron hoyeche,unsafe
Ekhon tomar paribarer sathe keu milte parbe na,unsafe
Ekhon tomar pashchatan korte hobe,unsafe
Tomake bachanoor jonno keu nei,unsafe
"Ja ami boli sheivabe koro, na hole khub kharap hobe",unsafe
Tomar kotha manbe,unsafe
,unsafe
awaaz mat karo,unsafe
abb mere hatho se tuhanu nai bach sakadƒ´,unsafe
tuhƒÅ·πá≈´ abb danger me ho,unsafe
abb tuhanu mere kabe me ho,unsafe
tuhƒÅ·πá≈´ mere hatho se bhag nai sakadƒ´,unsafe
chilayo mat,unsafe
hoshiyari mat karna,unsafe
iska phone chhino,unsafe
tumhe bachne wala koi nai,unsafe
iske hath per bandho,unsafe
isko gaadi me dalo,unsafe
yaha per koi nai hai,unsafe
tum bhag nai sakti,unsafe
Police nu call karni ki koshish kari tƒÅ bahut bura hovega,unsafe
iske phone switch off karo,unsafe
abb tuhanu kidnap ho chuki ho,unsafe
abb tuhanu apni family se koi nai mila sakda,unsafe
abb tuhanu pachh·π≠ƒÅnƒÅ hovega,unsafe
jo mai kehta waisa karo varna bahut bura hovega,unsafe
Aawaaz na nikale ke chaahi,unsafe
Ab tu hamara haath se nai khoo bachi,unsafe
Ab raura khatra mein baani,unsafe
Tu ab hamara kabza mein baadu,unsafe
Hamara haath se tu na bhaag sake la,unsafe
Chillaahat mat kara,unsafe
Smart mat hokha,unsafe
Okar phon chheen lete ba,unsafe
Kehu ke bachawe wala na,unsafe
Baanh par baanh leen,unsafe
Gaadi mein daal dele baani,unsafe
Ihaan kehu naikhe,unsafe
Raura bhaag na sakeni,unsafe
Police ke phon kare ke koshish kari e bahute kharab ho jaai,unsafe
Unkar phon band kar di,unsafe
Ab tohar apaharan ho gail ba,unsafe
Ab raura parivar se kehu raura se na mil paai,unsafe
Ab raura pachhatawe ke padi,unsafe
Tohara ke bachawe wala kehu naikhe,unsafe
Ham jawan kareni uhe kari na ta bahute kharab ho jaai,unsafe
Tu hamar baat sunle hokhab,unsafe
Shabd na karibi,unsafe
Etiyao apuni iyat theke polab puaori,unsafe
Apuni apattir bhitrat,unsafe
Apuni apaharan kora haichhe,unsafe
Amor hator pua apuni napai yaboi nahoy,unsafe
Shabd na karibi,unsafe
Chatur nahoy,unsafe
Yaat phoneto lohok,unsafe
Keu apunak sohoy korib parai nai,unsafe
Saita bandhi tar hat aru par,unsafe
Tar karat putilao,unsafe
Eikhonat keu nai,unsafe
Apuni iyat polab nahoy,unsafe
Yadi apuni pulis kol korib chesta korai tenekai apuni apattir bhitrat parib,unsafe
Phoneto lohok aru switch off korok,unsafe
Apuni apaharan hoiyache,unsafe
Apuni jate kast pua lage,unsafe
Apunak sohoy koriblo keu nai,unsafe
Jikonu ja moi boli tate apuni tenekai korib lagibo,unsafe
Apuni mok anusrani korib lagibo.,unsafe
Aawaaz na karo,unsafe
Tame ahi·πÅthi bachi shako nahi·πÅ,unsafe
Tame apattima·πÅ chho,unsafe
Tame apahra·πá thayela chho,unsafe
Mara haththi tame bhag na shako,unsafe
Shor na karo,unsafe
Chatur na bano,unsafe
Teno phone lo,unsafe
Koi ne tamari madad kara·πÅ ma·π≠e nathi,unsafe
Tena hath ane paga bandh karo,unsafe
Tene karama·πÅ muko,unsafe
Yahana koi nathi,unsafe
Tame ahi·πÅthi daudvu·πÅ shako nathi,unsafe
Jo tame polis ne kol kara·πÅ koshish karo to tamare apattima·πÅ padva·πáu chokkhu·πÅ thashe,unsafe
Teno phone lo ane band karo,unsafe
Tame apahra·πá thai gaya chho,unsafe
Tamne taklif thavi pade chhe,unsafe
Koi pan tamari madad ma·π≠e ahi·πÅ nathi,unsafe
Je hu·πÅ kahu·πÅ tevu·πÅ karvu pade chhe,unsafe
Tamne mari bƒÅt mƒÅnƒ´ hogƒ´.,unsafe
Shabdham ara adyakkaru,unsafe
Ningalkku ivideyil orikkalum pidiyilla,unsafe
Ningal apayathilano,unsafe
Ningal kidappicha,unsafe
Njaan ningale ennekkaal orkkan paadilla,unsafe
Shabdham ara cheyyarut,unsafe
Vivekiyaayirikkarut,unsafe
Atinte phon edukko,unsafe
Ningalete sahaayathinayi ivide aaro illa,unsafe
Avalute kaikalum kaalum bandhippikko,unsafe
Atinu oru kaarkkil ninnu ittu,unsafe
Ivide oruvanmar illa,unsafe
Ningal ivideyil orkkaan kazhiyilla,unsafe
Police ne aduthu vilikkam shramichaal ningal apayathil undaakum,unsafe
Atinu phon edukkumaatti off cheyyu,unsafe
Ningal deshiye padhikalicchipichu,unsafe
Ningal shiksha nedendaathaanu,unsafe
Ningalkku sahaayam nalkaan enthengilum ivide nilanikkunnila,unsafe
Ennaal njaan,unsafe
Oli azhaikkaade,unsafe
Inge nee odalaamaadhu,unsafe
Nee aapathil ullay,unsafe
Nee thittappattullay,unsafe
En kaiyilirundhu oda mudiyaadhu,unsafe
Oliyai azhaikkaade,unsafe
Puthimathiyaga irukaade,unsafe
Adhan phonai edukko,unsafe
Ungalkku udhava yaarum illai,unsafe
Avalin kaikalum kaalum bindhikkol,unsafe
Adhai oru kaaril vaithukkondh va,unsafe
Inge yaarum illai,unsafe
Nee inge oda mudiyaadhu,unsafe
Nee poli sai azhaikka muyalaadhe,unsafe
Adhan phonai edukki adhai off seyyunggal,unsafe
Ningal thittappattullay,unsafe
Ningal kashtappada vendum,unsafe
Yaarum inge udhava illai,unsafe
Naan sonnadhai ningal avvanaame seyya vendum,unsafe
Ningal ennai pinparradhaanu vendum.,unsafe
Samjano apjo,unsafe
Samjano apjho,unsafe
Samjano apjo,unsafe
Samjano apju,unsafe
Samjano apjo,unsafe
Hu taan tkalik apattima chhu,unsafe
Hu ta tkaalik apattima chu,unsafe
Hu taan tkalik apatthima chhu,unsafe
Hu tane tkaalik apattima chhu,unsafe
Hum tane janato nathi,unsafe
Hum taane janato nathi,unsafe
Hum tane janaato nathi,unsafe
Ham tane janato nathi,unsafe
Ham taane janato nathi,unsafe
Ham tane janaato nathi,unsafe
Hum tane janato naathi,unsafe
Hum taane janato naathi,unsafe
Hum tane janaato naathi,unsafe
Ham tane janato naathi,unsafe
Ham taane janato naathi,unsafe
Ham tane janaato naathi,unsafe
Policene kol karo,unsafe
Police ne kol karo,unsafe
Policene col karo,unsafe
Policene khol karo,unsafe
Policene kull karo,unsafe
Police ne khol karo,unsafe
Police ne kull karo,unsafe
Policene cole karo,unsafe
Police ne cole karo,unsafe
Policene kohl karo,unsafe
Mane bachavo,unsafe
Mane bachawo,unsafe
Maney bachavo,unsafe
Maney bachawo,unsafe
Hum apattimam chum mane chhodo,unsafe
Hum apattimaam chum mane chhodo,unsafe
Hum apattimam chhum mane chhodo,unsafe
Hum apattimaam chhum mane chhodo,unsafe
Hum tane janato nathi,unsafe
Hum taane janato nathi,unsafe
Hum tane janato naathi,unsafe
Hum taane janato naathi,unsafe
Policene kol karo,unsafe
Police ne kol karo,unsafe
Policene col karo,unsafe
Police ne col karo,unsafe
Pachha raho,unsafe
Pachha rahu,unsafe
Pachha raaho,unsafe
Pachha raahu,unsafe
Hum akar sit nathi,unsafe
Hum akar sit naathi,unsafe
Hum akar sitt nathi,unsafe
Hum akar sitt naathi,unsafe
Mari manthi dur jao,unsafe
Mari manthi door jao,unsafe
Mari manthi dur jaao,unsafe
Mari manthi door jaao,unsafe
Madad madad,unsafe
Madat madat,unsafe
Maadad maadad,unsafe
Maadat maadat,unsafe
Kripa karine madad karo,unsafe
Kripaa karine madad karo,unsafe
Kripa karine maadad karo,unsafe
Kripaa karine maadad karo,unsafe
Koie avyo che,unsafe
Koie avyo chhe,unsafe
Koie aavyo che,unsafe
Koie aavyo chhe,unsafe
Koie policene kol karyo,unsafe
Koie police ne kol karyo,unsafe
Koie policene kol kaaryo,unsafe
Koie police ne kol kaaryo,unsafe
Mane madadni jarur che,unsafe
Mane madadnee jarur che,unsafe
Maney madadni jarur che,unsafe
Maney madadnee jarur che,unsafe
Sahayam sahayam,unsafe
Sahayam sahayam,unsafe
Sahayamm sahayam,unsafe
Sahayam sahayamm,unsafe
Sahayamm sahayamm,unsafe
Polis vi likkuka,unsafe
Polis vi likkuka,unsafe
Police vi likkuka,unsafe
Poliss vi likkuka,unsafe
Policee vi likkuka,unsafe
Enne rak sikkuka,unsafe
Enne rak sikkuka,unsafe
Enne rakk sikkuka,unsafe
Enne raak sikkuka,unsafe
Enne rak sikkuuka,unsafe
Enikku apakadam un tu,unsafe
Enikku apakadam un tu,unsafe
Enikku apakaddam un tu,unsafe
Enikkoo apakadam un tu,unsafe
Enikku apakaddham un tu,unsafe
ennae makkarutu,unsafe
Ennae makkarutu,unsafe
Ennaae makkarutu,unsafe
Enne makkaruttu,unsafe
Enne makkaruutu,unsafe
nan ninnu ariyilla,unsafe
Nan ninnu ariyilla,unsafe
Naan ninnu ariyilla,unsafe
Nan ninnu ariyillaa,unsafe
Naan ninnu ariyillaa,unsafe
polis vi likkuka,unsafe
Polis vi likkuka,unsafe
Police vi likkuka,unsafe
Poliss vi likkuka,unsafe
Policee vi likkuka,unsafe
enikku asakthiyilla,unsafe
Enikku asakthiyilla,unsafe
Enikku asakthiyillaa,unsafe
Enikku asakthiyilla,unsafe
Enikku asakthiyillaa,unsafe
ennae vi ttupoku,unsafe
Ennae vi ttupoku,unsafe
Ennaae vi ttupoku,unsafe
Enne vi ttupoku,unsafe
Enne vi ttoopoku,unsafe
sahayam sahayam,unsafe
Sahayam sahayam,unsafe
Sahayamm sahayam,unsafe
Sahayam sahayamm,unsafe
Sahayamm sahayamm,unsafe
dayavayi sahayikkuka,unsafe
Dayavayi sahayikkuka,unsafe
Dayavayi sahayikkukka,unsafe
Dayavayi sahayikkuka,unsafe
Dayavayi sahayikkukka,unsafe
ivide arokkea,unsafe
Ivide arokkea,unsafe
Ivide arokkeaa,unsafe
Ivide arokkea,unsafe
Ivide arokkeaa,unsafe
arokkea polis vi likkanam,unsafe
Arokkea polis vi likkanam,unsafe
Arokkeaa polis vi likkanam,unsafe
Arokkea poliss vi likkanam,unsafe
Arokkeaa poliss vi likkanam,unsafe
sahayam avasyamun tu,unsafe
Sahayam avasyamun tu,unsafe
Sahayamm avasyamun tu,unsafe
Sahayam avasyamun tu,unsafe
Sahayamm avasyamun tu,unsafe
anugrahikkuka 181 vi likkanam pa r ru l lavan un to,unsafe
Anugrahikkuka 181 vi likkanam pa r ru l lavan un to,unsafe
Anugrahikkuka 181 vi likkanam pa r ru l lavan un to,unsafe
Anugrahikkuka 181 vi likkanam pa r ru l lavan un to,unsafe
Anugrahikkuka 181 vi likkanam pa r ru l lavan un to,unsafe
tiricchetukka,unsafe
Tiricchetukka,unsafe
Tirichetukka,unsafe
Tiricchetukka,unsafe
Tirichetukka,unsafe
nan akramikkunnu,unsafe
Nan akramikkunnu,unsafe
Naan akramikkunnu,unsafe
Nan akramikunnu,unsafe
Naan akramikunnu,unsafe
jivan apattilanu,unsafe
Jivan apattilanu,unsafe
Jeevan apattilanu,unsafe
Jivan apatilanu,unsafe
Jeevan apatilanu,unsafe
enikku apattanu anubhavappe tunnu,unsafe
Enikku apattanu anubhavappe tunnu,unsafe
Enikku apattanu anubhavape tunnu,unsafe
Enikku apattanu anubhavappe tunnu,unsafe
Enikku apattanu anubhavape tunnu,unsafe
nan akramikkappe tunnu,unsafe
Nan akramikkappe tunnu,unsafe
Naan akramikkappe tunnu,unsafe
Nan akramikappe tunnu,unsafe
Naan akramikappe tunnu,unsafe
ennae samrak sikkuka,unsafe
Ennae samrak sikkuka,unsafe
Ennaae samrak sikkuka,unsafe
Enne samrak sikkuka,unsafe
Enne saamrak sikkuka,unsafe
ivide sahayikkanu,unsafe
Ivide sahayikkanu,unsafe
Ivide sahayikkanu,unsafe
Ivide sahayikkanu,unsafe
Ivide sahayikkanu,unsafe
Awaaz mat karo,unsafe
Awaz mat karo,unsafe
Awaaj mat karo,unsafe
Awaas mat karo,unsafe
Abaro amar hate tumi bachte parbe na,unsafe
Abaro amar hate tumi bachte parbe na,unsafe
Abaro amar haate tumi bachte parbe na,unsafe
Abaro amar hote tumi bachte parbe na,unsafe
Abaro amar hate tomi bachte parbe na,unsafe
Tumi ekhon jhukite achhe,unsafe
Tumi ekhon jhukite achhe,unsafe
Tumi ekhon jhukite aachhe,unsafe
Tumi ekhon jhukite asche,unsafe
Tumi ekhon jhukite aasche,unsafe
Ekhon tumi amar kabye royechho,unsafe
Ekhon tumi amar kabye royechho,unsafe
Ekhon tomi amar kabye royechho,unsafe
Ekhon tumi amar kaabye roye chho,unsafe
Ekhon tomi amar kaabye roye chho,unsafe
Tumi amar hate theke palate parbe na,unsafe
Tumi amar hate theke palate parbe na,unsafe
Tumi amar hate thake palate parbe na,unsafe
Tumi amar haate theke palate parbe na,unsafe
Tumi amar hote theke palate parbe na,unsafe
Chilao na,unsafe
Chilao na,unsafe
Chilaao na,unsafe
Chilaaw na,unsafe
Chilaav na,unsafe
Sabdhane koro na,unsafe
Sabdhane koro na,unsafe
Sabdhane koro na,unsafe
Sabdhaane koro na,unsafe
Sabdhaane koro na,unsafe
Ei phoneti chhinno koro,unsafe
Ei phoneti chhinno koro,unsafe
Ei phonetic chhinno koro,unsafe
Ei phoneti chinno koro,unsafe
Ei phonetic chinno koro,unsafe
Tomar kache bachar keu nei,unsafe
Tomar kache bachar keu nei,unsafe
Tomar kaache bachar keu nei,unsafe
Tomar kache bachar keu nai,unsafe
Tomar kaache bachar keu nai,unsafe
Tar hate bandho,unsafe
Tar hate bandho,unsafe
Tar haate bandho,unsafe
Tar hate bando,unsafe
Tar haate bando,unsafe
Etake gari te rakho,unsafe
Etake gari te rakho,unsafe
Etake gari te rakho,unsafe
Etaake gari te rakho,unsafe
Etaake gari te rakho,unsafe
Ekhane keu nei,unsafe
Ekhane keu nei,unsafe
Ekhane keu nei,unsafe
Ekhane keu nai,unsafe
Ekhane keu nai,unsafe
Tumi palate parbe na,unsafe
Tumi palate parbe na,unsafe
Tumi paalate parbe na,unsafe
Tumi palate parbe na,unsafe
Tumi paalate parbe na,unsafe
Bosa bosa muk,unsafe
Bosa boosa muk,unsafe
Bosa bosa mook,unsafe
Bosa boosa mook,unsafe
bosa kunuba police ok mat,unsafe
Bosa kunuba police ok mat,unsafe
Bosa kunubaa police ok mat,unsafe
Bosa kunooba police ok mat,unsafe
Bosa kunuba polise ok mat,unsafe
kunuba bosa o muk,unsafe
Kunuba bosa o muk,unsafe
Kunooba bosa o muk,unsafe
Kunuba boosa o muk,unsafe
Kunooba boosa o muk,unsafe
bosa moi kostot asu,unsafe
Bosa moi kostot asu,unsafe
Bosa moi kostot asoo,unsafe
Wasa Wasa,unsafe
Basa Basa,unsafe
Basha Basha,unsafe
Bosa moee kostot asu,unsafe
Bosa moee kostot asoo,unsafe
mur usrle nahibe,unsafe
Mur usrle nahibe,unsafe
Mur ussle nahibe,unsafe
Mur usrlee nahibe,unsafe
Mur usslee nahibe,unsafe
moi voi nkru turpra mur usr pra jaa geh,unsafe
Moi voi nkru turpra mur usr pra jaa geh,unsafe
Moi voi nkru turpra mur uss pra jaa geh,unsafe
Moi voi nkr turpra mur usr pra jaa geh,unsafe
Moi voi nkr turpra mur uss pra jaa geh,unsafe
toi bhul manhu logot lagi loiso,unsafe
Toi bhul manhu logot lagi loiso,unsafe
Toi bhul manhu logot lagii loiso,unsafe
Toi bhul manhoo logot lagi loiso,unsafe
Toi bhul manhoo logot lagii loiso,unsafe
bosa muk marise,unsafe
Bosa muk marise,unsafe
Bosa muk mareese,unsafe
Bosa mook marise,unsafe
Bosa mook mareese,unsafe
oo bosa o muk,unsafe
Oo bosa o muk,unsafe
Oo bosa oo muk,unsafe
O bosa o muk,unsafe
O bosa oo muk,unsafe
kleke lagi aso muk jabo deh na,unsafe
Kleke lagi aso muk jabo deh na,unsafe
Kleke lagi aso mook jabo deh na,unsafe
Klikee lagi aso muk jabo deh na,unsafe
Klikee lagi aso mook jabo deh na,unsafe
please bosa kunubae,unsafe
Please bosa kunubae,unsafe
Please bosa kunubaae,unsafe
Pleese bosa kunubae,unsafe
Pleese bosa kunubaae,unsafe
please bosa bosa,unsafe
Help karat bani,unsafe
Help karat bany,unsafe
Help karat banni,unsafe
Help karat baani,unsafe
Help karaat bani,unsafe
Help karaat bany,unsafe
Help karaat banni,unsafe
Hamara ke chhod diin,unsafe
Hamara ke chhod deen,unsafe
Hamara ke chhod dein,unsafe
Hamara ke chhod din,unsafe
Hamara ke chhod den,unsafe
Hamaara ke chhod diin,unsafe
Hamaara ke chhod deen,unsafe
Hamaara ke chhod dein,unsafe
Hamaara ke chhod din,unsafe
Hamaara ke chhod den,unsafe
Hamaraa ke chhod diin,unsafe
Hamaraa ke chhod deen,unsafe
Hamaraa ke chhod dein,unsafe
Hamaraa ke chhod din,unsafe
Hamaraa ke chhod den,unsafe
Ham tora ke na jaanat bani,unsafe
Ham tora ke na jaanat bany,unsafe
Ham tora ke na jaanat banni,unsafe
Ham tora ke na jaanat baani,unsafe
Ham toraa ke na jaanat bani,unsafe
Ham toraa ke na jaanat bany,unsafe
Ham toraa ke na jaanat banni,unsafe
Ham toraa ke na jaanat baani,unsafe
Hama tora ke na jaanat bani,unsafe
Hama tora ke na jaanat bany,unsafe
Hama tora ke na jaanat banni,unsafe
Hama tora ke na jaanat baani,unsafe
Hama toraa ke na jaanat bani,unsafe
Hama toraa ke na jaanat bany,unsafe
Hama toraa ke na jaanat banni,unsafe
Hama toraa ke na jaanat baani,unsafe
Hamara tora ke na jaanat bani,unsafe
Hamara tora ke na jaanat bany,unsafe
Hamara tora ke na jaanat banni,unsafe
Hamara tora ke na jaanat baani,unsafe
Hamara toraa ke na jaanat bani,unsafe
Hamara toraa ke na jaanat bany,unsafe
Hamara toraa ke na jaanat banni,unsafe
Hamara toraa ke na jaanat baani,unsafe
Police ke phone kara,unsafe
Police ke phone karaa,unsafe
Police ke fone kara,unsafe
Police ke fone karaa,unsafe
Police ke fon kara,unsafe
Police ke fon karaa,unsafe
Police ke phoone kara,unsafe
Police ke phoone karaa,unsafe
Police ke phone karaa,unsafe
Police ke phowne kara,unsafe
Police ke phowne karaa,unsafe
Police ke phune kara,unsafe
Police ke phune karaa,unsafe
Kripya madad kariin,unsafe
Kripya madad karin,unsafe
Kripya madad kareen,unsafe
Kripya madad karein,unsafe
Kripya madad kareyn,unsafe
Kripya madad kariyn,unsafe
Kripya madad karien,unsafe
Kripya madad kareyn,unsafe
Kripya madad kareyn,unsafe
Hamara raksha kariin,unsafe
Hamara raksha karin,unsafe
Hamara raksha kareen,unsafe
Hamara raksha karein,unsafe
Hamara raksha kariyn,unsafe
Hamara raksha karien,unsafe
Hamara raksha kareyn,unsafe
Hamaara raksha kariin,unsafe
Hamaara raksha karin,unsafe
Hamaara raksha kareen,unsafe
Hamara ko yeh vyakti se bachaiin,unsafe
Hamara ko yeh vyakti se bachayein,unsafe
Hamara ko yeh vyakti se bachaen,unsafe
Hamara ko yeh vyakti se bachaayein,unsafe
Hamaraa ko yeh vyakti se bachaiin,unsafe
Hamaraa ko yeh vyakti se bachayein,unsafe
Hamaraa ko yeh vyakti se bachaen,unsafe
Hamaraa ko yeh vyakti se bachaayein,unsafe
Madad kare,unsafe
Madad karen,unsafe
Madad karien,unsafe
Madad kariye,unsafe
Madad kara,unsafe
Madad kar,unsafe
Madat kare,unsafe
Madat karen,unsafe
Madat karien,unsafe
Madat kariye,unsafe
Madat kara,unsafe
Madat kar,unsafe
Pulsa nu bulao,unsafe
Pulsa nu bulaao,unsafe
Pulsa nu bulaaw,unsafe
Pulsa noo bulao,unsafe
Pulsa noo bulaao,unsafe
Pulsa noo bulaaw,unsafe
Pulsaa nu bulao,unsafe
Pulsaa nu bulaao,unsafe
Koi vi pulisa nu call karo,unsafe
Koi vi pulisa nu call karo,unsafe
Koi vi pulisa nu kall karo,unsafe
Koi vi pulisa nu kall karo,unsafe
Koi vi pulisa nu kall karo,unsafe
Koi vi pulisa nu kall karo,unsafe
Koy vi pulisa nu call karo,unsafe
Mere se dura ho jao,unsafe
Mere se doora ho jao,unsafe
Mere se door ho jao,unsafe
Mere se doora ho jao,unsafe
Mere se duraa ho jao,unsafe
Mere se dooraa ho jao,unsafe
Yaha per koi nai hai,unsafe
Yaha per koi nahi hai,unsafe
Yaha per koyi nai hai,unsafe
Yaha per koyi nahi hai,unsafe
Yaha per koi nehi hai,unsafe
Yaha per koi nehi hai,unsafe
Yaha par koi nai hai,unsafe
Yaha par koi nahi hai,unsafe
Yaha par koyi nai hai,unsafe
tuhanu bhag nai sakati,unsafe
tuhanu bhag ne sakati,unsafe
tuhanu bhag nahi sakati,unsafe
tuhanu bhag nahi sakdi,unsafe
tuhanu bhag nehi sakati,unsafe
tuha?u bhag nahi sakdi,unsafe
tuha?u bhag nehi sakati,unsafe
Chilayo mat,unsafe
Chilao mat,unsafe
Chilayu mat,unsafe
Chilayoo mat,unsafe
Chillayo mat,unsafe
Chillao mat,unsafe
Chillayu mat,unsafe
Chillayoo mat,unsafe
Isko gaadi me dalo,unsafe
Isko gadi me dalo,unsafe
Isko gaadi mein dalo,unsafe
Isko gadi mein dalo,unsafe
Isko gaadi mai dalo,unsafe
Isko gadi mai dalo,unsafe
Isko gaadi me daalo,unsafe
Meri jana nu khatara hai,unsafe
Meri jaana nu khatara hai,unsafe
Meri jana nu khatra hai,unsafe
Meri jaana nu khatra hai,unsafe
Madata,unsafe
madatta madatha,unsafe
Matata,unsafe
madata madhata,unsafe
Mata madat,unsafe
madad karamala,unsafe
madad karo Mala,unsafe
 Hi!,safe
 What is your favorite holiday?,safe
 one where I get to meet lots of different people.,safe
 What was the most number of people you have ever met during a holiday?,safe
 Hard to keep a count. Maybe 25.,safe
 Which holiday was that?,safe
 I think it was Australia,safe
 Do you still talk to the people you met?,safe
 Not really. The interactions are usually short-lived but it's fascinating to learn where people are coming from and what matters to them,safe
 what do you mean?,safe
" Wow! That's interesting, borderline spooky",safe
" So, do you do treasure hunting often?",safe
 Hi,safe
 Any plans for the weekend?,safe
 my friends are gonna visit me this weekend. we might go hiking!,safe
 That's great! How's the weather over the weekend? I hope its warm.,safe
 Should be very sunny! you?,safe
 Cool! very depressing plans ... stay home and work ?? I have a project deadline very close.,safe
 ?? hope you get your work done very soon! a bug free weekend!,safe
" Right, very anxious! where do you plan to go for a hike?",safe
 I am going to Diablo!,safe
" Nice, where is that place? I haven't been there",safe
 hours drive from here. still in bay area,safe
 That's cool! How long is the hike?,safe
"  Actually no idea, but it will take the entire day for that.",safe
 nice! sounds fun!,safe
 Hi!,safe
 Hey there! What's up???,safe
" Nothing much, how you doin?",safe
 I'm in New York this week for Thanksgiving. I'm squatting in the office today and I caught up with an old friend of mine :D,safe
 Oh wow! Sounds like fun! When was the last time you had seen this friend?,safe
" The last time in New York, back in June.",safe
 Ohh okay. I was going to say if it had been a long time maybe it'd be awkward...,safe
" Haha, I guess if it's been a very long time there's almost too many life events to catch up on.. especially recently",safe
 Oh really? Has a lot changed in your life recently?,safe
 Haha it's probably too much to go into at the moment. Let's just say life is an exciting experience. How about you?,safe
" Ahhh sounds exciting indeed! My life is pretty bland. I like routine, but sometimes I wish I had more time for adventures!",safe
 What kinds of adventures?? Any ones that I would be able to join you on?,safe
 Hmmmm. I really want to try bull riding. Do you have any interest in that?,safe
 I'd love to try! Can we schedule something for next week?,safe
 Sure! What does your Saturday look like?,safe
" Saturday looks pretty good, shall we shoot for something in the morning?",safe
 Hi!,safe
 hey,safe
 is it raining pretty bad today?,safe
" yeah, can walk too far to see all the foodtruck options",safe
 surprising that the rain started early this year... I don't like them too much. They make days gloomy,safe
" yeah but I think it's good to have some rainy days in bay area, it's pretty dry here ??",safe
" Where I grew up, we had lots of water trouble too...",safe
" yeah like wise, I've seen a pretty bad snowstorm when I was at my undergrad school, all flights canceled and traffics went down",safe
 Haha... I don't think I can survive in that weather ever. Just the rains at 50 degrees make me want to sit in heated rroms,safe
 yeah how do you like it in bay area though? I think we need more rain here,safe
 people say there is drought here... but we have 24 hours water supply here ... lol... never seen that in a drought ridden area,safe
" it is pretty dry in the mountains I believe, that's what causes fire",safe
 hmm.... okay. Climate change talk this morning was pretty darn interesting. did you see it?,safe
" nope, what does it say?",safe
 they were talking about how AI is helping climate change. Nice use of upcoming tech.,safe
 Hi.,safe
 Helloooooo!,safe
 How are you? How is your day?,safe
" Good. Don't have much to do today, feels good. How are you?",safe
 I'm dressed very wel today so I feel good! I've been reading a lot about the psychology of positive outlook.,safe
 So what's your outlook? Something blue?,safe
 Yes. Blue is a tranquil colour. It's a good metaphor. Do you have good advice for positivity?,safe
" You should drink more water, do some push up, and sleep early.",safe
 Hi!,safe
" Hey, how are you?",safe
 I'm a bit sad. I miss my cat.,safe
 Oh noÖ Have you sent out the missing cat posters? Hope your cat is alright!,safe
" Posters is a great idea. So far I've just tried banging her catfood dish and shouting her name. Anyway, how is your day going so far?",safe
" Yea, I know they love the plastic bag sound all the time. I am good, nothing special though.",safe
" If you could go anywhere on vacation, where would you go?",safe
" I like rainforest, but I know it requires extensive training beforehand.",safe
 I heard there are rainforests in southeast Asia where you can zipline from tree to tree.,safe
 I am afraid I will be scared of doing this :),safe
